id,task,task_label,brief
784,784,Make a surprisingly pleasant sausage,"Make a sausage.
You can only use seven ingredients, each beginning with the letters of the word ""sausage"".
You have five minutes to order your ingredients, and 20 minutes to prepare your sausage.
Most surprisingly pleasant sausage wins.
You may not order sausages.
Your time starts now."
785,785,Complete all the tasks as a team,"Complete all the tasks, then put the tubs back on your heads.
One person must be looking at a teammate at all times during these tasks.
Also, one person must be shaking their head and smiling at all times during the task.
And one person must only shout.
Fastest wins.
Your time starts when Alex blows his whistle.

Do a total of 20 squats.

Shake hands.

Eat one bowl of cereal in the lab.

Shake hands.

Make your buckets look like your faces.

Name a total of five biscuits.

Shake hands.

Sniff the front door.

Shake hands.

Tell each other something you’ve done that you regret.

Shake hands.

Write a powerful message to the other team on the whiteboard."
786,786,Recreate a well-known piece of art on 100 memo squares,"Recreate a well-known piece of art on these memo squares.
You must draw on every memo square, but you may only look at one memo square at a time.
You have 20 minutes, after which the memo squares will be arranged in a 10 by 10 square.
Best memo square art wins.
Your time starts now."
787,787,Roll your animal die,"Write the name of a different animal on each face of your dice.
You have 100 seconds."
788,788,Tut the loudest,"Tut the loudest.
You have 10 attempts, but your tenth tut is the one that will be officially measured."
789,789,The best thing that has five things on it,Bring in the best thing that has five things on it.
790,790,Burst the balloon without looking at it,"Burst this balloon from the furthest distance.
You must not be looking at the balloon when you burst the balloon.
You have 15 minutes.
Your time starts now."
791,791,Make a cool but scary googly-eyed gang,"Make the most cool, but scary gang using these eyes.
You have 15 minutes.
Your time starts now."
792,792,Get all of the water into the vase,"Get all the water in the vase.
If you spill any water from the plate, you are disqualified.
You may not leave the lab.
Fastest wins.
Your time starts now."
793,793,Retrieve and sip your drink,"Sip your drink.
You may only touch the loo roll, and you may not reach over the line.
Fastest wins."
794,794,The greatest thing that makes quite a loud noise when you shake it,Bring in the greatest thing that makes quite a loud noise when you shake it.
795,795,Avoid the rubbish robots,"Avoid the rubbish robots.
You may not remove your blindfold at any point, and at least one of your knees must be touching the floor throughout.
Longest time untouched by a rubbish robot wins.
Your time starts when the rubbish robots start."
796,796,Recreate the garage scene in the lab,"Recreate your teammate's garage scene.
You have 15 minutes.
Your time starts when your teammate calls.

Instruct your teammates to recreate your garage scene.
You may not say any of the words on any of the labels.
You may not leave your location.
The most accurate recreation wins.
You had 15 minutes.
Your time has already started.
Also, you must try on all the outfits in the basket one at a time and not mention anything about it to your teammates."
797,797,"Present a powerful piece called ""Heads, Shoulders, Knees and Toes""","Present a piece called ""Heads, Shoulders, Knees and Toes"".
Most powerful piece wins.
You have 20 minutes.
Your time starts now."
798,798,Pineapple bluff,"Pass the pineapples amongst you for 15 seconds whilst the Taskmaster shuts his eyes and has a little think.
When the Taskmaster opens his eyes, he will say if he thinks you are holding a pineapple behind your back or not.
If he accuses you wrongly, you get a point.
Most points after three rounds wins."
799,799,The thing most guaranteed to make you groan,Bring in the thing most guaranteed to make you groan.
800,800,Play with these switches / Balance the most golf tees,"Do whatever you like with these switches for five minutes.
You will then do a task in the lab for five minutes.
The conditions in the lab will change according to when you switch the switches in here.
Your time starts when Alex is confident you understand the task.

Balance the most tees on the shelves.
You must stay on the platform throughout the task.
You have five minutes.
Your time starts when Alex is confident you understand the task."
801,801,Pie the air dancer in the face,"Pie Wayne in the face.
Wayne is outside the front door.
You may not touch Wayne, nor step on the red green.
If you miss Wayne with the pie, you must copy Wayne’s dance moves for 10 seconds.
You must not touch Wayne.
Fastest wins.
Your time starts when you open the front door."
802,802,Place your cardboard replica within the boundary,"Put yourself somewhere within the boundary.
The person furthest from everyone else wins.
The people closest together both lose two points.
Also, throughout the task you must behave really weirdly.
You have a maximum of 10 minutes.
Your time starts now."
803,803,Get three balls on your hat using litter-pickers,"Catch three balls on your head.
After you’ve caught a ball, you must shout ""ball"".
You may not step off your circles, move your circles, adjust your arms, or touch the balls with your hands.
Fastest wins."
804,804,Pop your party popper the furthest,"Fire your party popper from your seat.
The person who fires the party popper contents furthest wins."
805,805,The best single-word object you own and love that gets the best reaction when introduced following a drum roll,Bring in the best single-word object you own and love that gets the best reaction when introduced following a drum roll.
